cam1_X00_in,cam1_Y00_in,cam1_Z00_in,cam1_X01_in,cam1_Y01_in,cam1_Z01_in,cam1_X02_in,cam1_Y02_in,cam1_Z02_in,cam1_X03_in,cam1_Y03_in,cam1_Z03_in,cam1_X04_in,cam1_Y04_in,cam1_Z04_in,cam1_X05_in,cam1_Y05_in,cam1_Z05_in,cam1_X06_in,cam1_Y06_in,cam1_Z06_in,cam1_X07_in,cam1_Y07_in,cam1_Z07_in,cam1_X08_in,cam1_Y08_in,cam1_Z08_in,cam1_X09_in,cam1_Y09_in,cam1_Z09_in,cam1_X10_in,cam1_Y10_in,cam1_Z10_in,cam1_X11_in,cam1_Y11_in,cam1_Z11_in,cam1_X12_in,cam1_Y12_in,cam1_Z12_in,cam1_X13_in,cam1_Y13_in,cam1_Z13_in,cam1_X14_in,cam1_Y14_in,cam1_Z14_in,cam1_X15_in,cam1_Y15_in,cam1_Z15_in,cam1_X16_in,cam1_Y16_in,cam1_Z16_in,cam1_X17_in,cam1_Y17_in,cam1_Z17_in,cam1_X18_in,cam1_Y18_in,cam1_Z18_in,cam1_X19_in,cam1_Y19_in,cam1_Z19_in,cam1_X20_in,cam1_Y20_in,cam1_Z20_in,cam2_X00_in,cam2_Y00_in,cam2_Z00_in,cam2_X01_in,cam2_Y01_in,cam2_Z01_in,cam2_X02_in,cam2_Y02_in,cam2_Z02_in,cam2_X03_in,cam2_Y03_in,cam2_Z03_in,cam2_X04_in,cam2_Y04_in,cam2_Z04_in,cam2_X05_in,cam2_Y05_in,cam2_Z05_in,cam2_X06_in,cam2_Y06_in,cam2_Z06_in,cam2_X07_in,cam2_Y07_in,cam2_Z07_in,cam2_X08_in,cam2_Y08_in,cam2_Z08_in,cam2_X09_in,cam2_Y09_in,cam2_Z09_in,cam2_X10_in,cam2_Y10_in,cam2_Z10_in,cam2_X11_in,cam2_Y11_in,cam2_Z11_in,cam2_X12_in,cam2_Y12_in,cam2_Z12_in,cam2_X13_in,cam2_Y13_in,cam2_Z13_in,cam2_X14_in,cam2_Y14_in,cam2_Z14_in,cam2_X15_in,cam2_Y15_in,cam2_Z15_in,cam2_X16_in,cam2_Y16_in,cam2_Z16_in,cam2_X17_in,cam2_Y17_in,cam2_Z17_in,cam2_X18_in,cam2_Y18_in,cam2_Z18_in,cam2_X19_in,cam2_Y19_in,cam2_Z19_in,cam2_X20_in,cam2_Y20_in,cam2_Z20_in,X00_out,Y00_out,Z00_out,X01_out,Y01_out,Z01_out,X02_out,Y02_out,Z02_out,X03_out,Y03_out,Z03_out,X04_out,Y04_out,Z04_out,X05_out,Y05_out,Z05_out,X06_out,Y06_out,Z06_out,X07_out,Y07_out,Z07_out,X08_out,Y08_out,Z08_out,X09_out,Y09_out,Z09_out,X10_out,Y10_out,Z10_out,X11_out,Y11_out,Z11_out,X12_out,Y12_out,Z12_out,X13_out,Y13_out,Z13_out,X14_out,Y14_out,Z14_out,X15_out,Y15_out,Z15_out,X16_out,Y16_out,Z16_out,X17_out,Y17_out,Z17_out,X18_out,Y18_out,Z18_out,X19_out,Y19_out,Z19_out,X20_out,Y20_out,Z20_out
448.343956,30.678927,680.050903,443.956185,-12.985415,673.735291,418.747435,-48.719396,680.647522,372.369046,-67.019453,679.844604,331.705528,-75.168848,682.032227,388.428612,-0.586952,648.785583,319.484165,-17.743154,637.416382,279.934455,-30.104725,638.313843,247.954037,-38.355595,635.211914,375.251222,28.794028,656.791687,291.511837,8.271995,643.316284,246.055964,-10.796754,641.288330,216.520550,-26.253290,641.184570,362.307969,44.891277,662.594666,286.191195,22.867668,645.359253,249.317160,2.524942,647.238953,222.041444,-14.355933,640.932251,349.361597,50.777183,663.304138,290.392414,32.002103,648.075012,260.851397,16.744532,647.659607,237.985521,3.058481,642.578003,365.059839,20.405845,619.967638,241.165476,-9.740263,607.345076,14816.133132,-1101.283968,-2029.439264,290.078001,-51.912620,564.489447,282.442235,-59.303817,559.714519,244.395660,-1.572719,548.834178,235.371148,-11.978076,530.345535,224.782316,-21.386711,526.051670,9806.395608,-758.542572,-2442.280670,247.894269,16.102883,553.746043,243.401002,4.815738,532.018736,234.996995,-9.531331,526.789607,225.843810,-21.730086,529.056692,272.039958,31.155868,563.543792,247.876281,16.088927,554.564619,238.028896,-5.965898,563.087559,229.571461,-23.407076,574.866103,274.278992,39.174319,585.798810,263.652731,22.290882,587.688702,249.718366,2.779652,596.752178,241.213076,-12.812143,605.760129,-0.000000,0.000000,-0.000000,6.604838,25.584444,36.993908,21.730010,55.899834,58.196693,40.164466,83.193636,64.568466,56.088173,102.275156,62.417244,-0.000000,89.312668,24.329176,22.367961,124.379281,25.630374,39.490288,141.771771,27.323027,54.434323,152.554452,28.349141,-0.000000,90.084497,0.000000,28.236958,130.935366,0.962015,49.452968,150.200417,6.380850,66.146067,160.423043,11.377877,4.884438,83.514832,-18.236558,33.491277,117.957668,-14.072164,58.332553,129.089613,-4.508804,78.040084,133.354532,3.574184,13.926057,71.995289,-30.169499,40.834759,93.174955,-24.787320,61.429785,102.172335,-16.450981,78.066494,107.967929,-9.170338
437.033404,40.423523,697.116943,397.935939,25.025296,719.412720,359.919579,2.389657,730.614990,319.199253,-6.378328,733.600708,281.618676,-12.489592,733.318359,384.112804,-53.274270,705.791504,345.598446,-81.310580,690.108032,312.000400,-88.454531,683.103027,283.462056,-88.426115,688.325378,384.616798,-52.369242,666.975281,375.140032,-93.474939,666.416504,341.548666,-108.495500,664.327393,308.007515,-112.646706,662.576660,397.534399,-39.846041,652.428650,408.377761,-82.138264,667.807739,379.116328,-95.058585,665.187439,352.422020,-100.325880,666.814209,422.320810,-18.314856,665.470154,416.427861,-38.333689,652.988770,396.264889,-46.042267,653.046936,380.539807,-49.309165,664.747375,333.188667,38.130120,611.194032,309.318486,27.017382,629.615093,289.923377,6.296630,640.804730,259.775039,-5.397595,630.959162,308.552937,-12.453984,603.059611,312.625401,-43.403569,602.578105,295.644416,-64.060690,596.652620,293.418733,-70.734918,582.993720,281.080729,-70.085262,569.678153,318.901680,-44.638937,580.182043,287.176444,-74.512653,571.813618,288.207789,-87.138644,553.570032,276.943037,-90.741155,538.272798,322.789508,-34.767013,562.970181,313.478939,-63.889804,546.606598,288.841794,-73.037064,532.228990,283.650587,-79.829014,514.872482,327.421456,-15.419278,547.519045,323.049004,-30.116277,522.851525,323.384576,-33.716650,501.163746,311.800182,-35.519765,485.719736,0.000000,0.000000,-0.000000,12.191326,16.047099,22.908606,21.278666,40.355067,40.885527,44.837836,60.711913,45.026756,70.446269,77.121148,43.165189,0.000000,88.797552,16.898038,9.339784,116.626053,22.810347,28.252096,129.381743,24.409402,50.058675,135.990457,25.089377,0.000000,91.935350,0.000000,-2.540893,128.026966,-1.394265,16.819543,146.573393,-0.298240,38.020159,156.747281,0.664738,2.893727,83.790436,-15.208595,-1.357707,117.341905,-21.450945,16.661649,134.989900,-22.644501,35.087809,146.246745,-23.370813,11.254937,67.781586,-28.698314,17.461757,88.688759,-39.777067,34.331951,100.382253,-43.303853,50.838050,108.815737,-45.069577
626.306488,-8.687461,616.039429,604.223548,-52.372689,592.468689,595.089716,-95.356766,602.526428,554.196605,-120.563618,591.128052,529.546286,-141.095547,590.748047,561.930259,-58.250379,574.916321,475.615921,-77.042188,550.513184,443.971064,-89.560915,555.663391,752.535212,-176.707678,1004.503967,548.985529,-27.400616,579.463257,471.191533,-56.841008,585.516052,435.702045,-78.288716,599.767578,409.605060,-92.191610,607.707520,539.892499,-4.239069,590.858337,474.522699,-32.965960,605.437439,443.263088,-55.453144,615.241882,418.377308,-71.334802,614.885315,529.877979,12.660936,601.202820,472.596446,-9.411600,610.277100,444.906618,-28.052872,614.940186,428.162478,-43.208286,620.731934,457.397822,-14.806156,534.751600,439.068684,-49.358061,515.043116,437.741978,-77.586393,484.916983,418.499467,-97.048394,469.846122,412.370012,-114.095658,454.123509,363.401551,-36.200642,461.787644,384.425070,-53.648507,431.579299,363.086072,-60.472655,421.697245,360.628343,-69.009706,407.908663,372.186822,-18.205146,458.561538,364.915445,-44.869867,457.007944,349.325009,-63.115431,470.893592,342.281772,-77.052788,482.478046,373.905188,-1.329959,466.141647,361.708014,-29.136262,475.570916,349.658412,-43.589434,495.719028,349.929453,-54.451887,509.260136,383.261687,14.109443,477.737242,372.800915,-2.515808,481.981998,361.799091,-13.904023,491.716998,355.888699,-22.634378,498.944258,0.000000,0.000000,0.000000,5.095854,23.885538,35.556507,14.256937,57.692819,60.113989,25.918793,83.910989,73.943929,34.644023,104.587921,84.011731,-0.000000,93.859526,23.547062,21.786378,127.892225,28.747882,33.206716,149.535344,30.579049,41.769795,165.990806,32.353546,-0.000000,96.822857,0.000000,34.009052,123.131392,12.579483,57.055421,131.268608,23.064047,74.166294,135.211366,30.491712,3.428877,94.207705,-19.714021,37.845545,113.423575,-5.630395,59.796265,113.986355,5.040153,75.616082,113.297195,13.219071,8.919194,87.014550,-36.251345,36.202395,105.910544,-28.369169,52.317506,111.391288,-20.000721,64.126833,115.026374,-13.003938
504.828669,90.604461,651.788391,524.843199,59.019023,642.797424,522.161422,33.176169,629.614319,500.597331,13.380196,612.494629,484.949167,-5.814145,602.996704,431.598379,72.090854,622.787781,370.354206,63.082091,597.462158,335.739728,60.336226,591.458435,310.241463,58.541806,598.674133,402.152862,79.506880,617.744812,331.389974,71.530553,598.488708,303.371467,69.883675,624.452637,266.403803,65.849564,624.508850,382.699497,79.368879,612.711121,316.806481,67.981165,598.686279,298.790353,64.547174,642.682129,257.279127,56.377498,626.342712,372.327289,76.373660,608.846680,321.684161,62.459533,594.247925,331.577252,59.027003,674.756104,316.223150,50.853306,706.436218,313.540938,62.931398,588.921138,368.891762,34.755891,545.546363,371.257273,23.958354,511.181296,372.468951,12.588577,489.656657,368.072463,-3.644419,465.194519,311.464293,49.262258,500.795339,306.390221,50.900502,470.295000,310.546334,51.616269,446.183797,306.873573,52.522490,427.430977,251.949492,54.912717,532.903375,242.254318,63.768781,510.583283,250.071211,66.686405,490.215067,248.477217,68.478384,472.215421,313.580543,67.703146,538.142359,276.775069,70.161397,530.869045,246.293170,61.708001,525.357205,235.530957,55.344297,517.352728,311.141288,67.827451,565.791594,303.402031,61.421196,570.794896,290.799674,48.356692,579.037390,285.759761,38.499316,584.501557,0.000000,0.000000,-0.000000,14.262026,21.834040,35.637915,18.474197,46.524678,55.108111,25.721985,66.353660,64.764324,33.594809,88.842721,75.988249,0.000000,91.483654,17.917894,1.783898,126.918621,12.951340,3.150907,149.506315,8.852562,4.761288,168.801199,4.369901,0.000000,89.360628,0.000000,1.970815,127.482958,-13.278691,6.393278,152.437551,-21.239902,9.877381,174.846570,-27.710236,4.078893,80.000298,-14.398975,11.642656,114.552842,-28.413845,20.702172,139.044864,-34.053818,28.712786,159.014474,-39.192958,12.094604,65.157558,-25.290175,27.533200,83.981090,-36.530287,43.388498,96.610107,-43.206623,56.704294,108.109871,-49.425410
507.239077,26.051100,646.938477,521.727837,2.261898,642.584778,537.599064,-19.728617,639.527954,519.331046,-43.884414,630.964294,483.410727,-58.019409,613.478027,534.222803,20.096416,629.408386,494.789644,30.750437,568.178650,496.954377,33.575192,565.816406,494.654821,31.386497,566.060364,490.367199,39.894879,605.901306,443.260239,53.396195,558.594116,440.703130,55.974168,567.556396,439.761158,53.915997,581.404480,459.306743,48.208068,598.314941,416.971826,54.626285,581.729553,389.833949,49.565987,575.612610,375.786811,43.766544,577.979614,432.200278,47.218559,596.064087,380.334794,43.217402,577.072998,376.541094,39.071077,618.799255,356.388742,30.663317,621.261230,392.539333,39.073546,572.733118,385.662763,9.493556,551.160876,388.889338,-12.158397,517.795976,382.852673,-29.557991,498.918063,376.888950,-42.659756,480.160654,385.668841,25.334213,464.119265,386.367014,24.381053,422.622467,386.938528,22.551643,395.799138,387.342313,21.739932,373.714187,317.177304,39.845087,490.457701,326.676087,46.983775,440.461762,328.183247,50.100860,409.167694,347.761656,53.236444,374.709409,337.168541,51.654354,498.938648,338.332825,53.131514,455.483804,322.860994,45.795893,435.086723,319.510458,39.805373,415.516486,345.151742,56.519368,518.673786,317.327840,38.690443,504.359703,385.352583,27.430158,469.886762,386.587463,14.781468,457.486748,-0.000000,-0.000000,0.000000,8.546901,14.639805,27.242026,14.970985,37.152769,49.165550,30.959222,54.364496,61.548539,46.836060,71.978599,66.139995,-0.000000,80.142723,20.469588,-1.815242,109.330621,19.748754,-0.377269,126.916420,20.758159,3.472871,141.114040,21.330655,0.000000,81.441477,-0.000000,3.400426,118.409147,-8.781085,9.198448,140.688877,-11.385818,15.379299,157.074649,-12.200254,3.740632,74.304012,-14.771357,17.325044,109.198884,-22.473722,30.763549,129.173362,-22.181336,40.156331,143.223184,-20.125989,12.018580,62.175006,-24.458048,34.670790,83.429251,-24.731604,53.122254,96.720098,-23.673741,66.718141,106.217316,-20.977066
451.063573,-48.319155,546.548645,459.667016,-76.286730,539.899292,457.064883,-101.767545,545.692871,431.121220,-117.333092,551.623291,398.233049,-121.344814,552.398499,492.262957,-75.273231,545.479065,441.437636,-104.327369,542.477783,414.060196,-127.285736,557.670288,385.895610,-140.919151,561.804993,467.618138,-53.016236,545.158447,414.580649,-86.272476,535.063721,384.392604,-119.207542,552.190735,355.346620,-136.023213,556.637817,442.495660,-41.426039,553.626465,392.633844,-73.820168,539.455627,368.496299,-107.994116,548.967468,352.945536,-125.652129,554.632690,413.118869,-36.776314,561.049438,378.829857,-64.987430,547.076782,362.784793,-93.170341,548.506348,352.508313,-109.784582,550.517395,382.758278,-48.883994,505.473210,380.027684,-79.001732,479.084815,367.614114,-97.548148,455.911507,342.191613,-109.607994,446.880817,339.337187,-114.741625,428.497046,326.788948,-59.401327,427.304588,338.123683,-77.164032,393.741596,330.101425,-96.215342,404.003477,330.684669,-108.011501,418.513471,326.521898,-47.727101,428.458469,339.109837,-68.146921,386.857047,330.409775,-92.482871,403.762113,330.306939,-103.508939,420.418194,335.964014,-39.227514,430.922072,330.672173,-56.516955,399.483881,328.725081,-82.550354,417.873476,329.216119,-92.835522,437.602394,338.457679,-35.610057,441.770029,326.487897,-54.291014,421.199613,327.854902,-74.178051,432.294379,329.183305,-82.119297,448.482187,0.000000,-0.000000,0.000000,10.271239,17.610015,26.292852,25.988921,39.786076,37.295327,44.553535,55.449241,38.112580,58.863166,72.391424,29.144900,0.000000,69.482489,18.177820,27.558276,92.012001,18.950118,50.324555,89.712156,24.015104,67.691940,82.215450,25.720872,0.000000,70.754689,0.000000,28.903149,97.752775,4.024685,56.864730,91.441313,13.476762,76.002710,83.525504,15.002975,6.114779,69.490685,-16.200844,32.282264,93.921826,-10.368146,58.017706,84.564446,3.228366,72.797810,73.233658,8.602009,16.384069,64.589125,-28.402975,37.085362,82.975106,-18.513272,55.189618,76.242779,-5.471327,66.436265,66.335426,0.685480
504.246105,49.752602,685.910706,420.522617,54.175040,661.181885,388.410481,52.478624,694.716125,370.503215,54.587060,738.630859,342.239336,57.004412,757.218201,350.438534,7.334989,634.444824,337.026760,-29.278821,638.522949,329.400423,-53.275942,631.800049,627.598727,-143.228134,1212.370117,367.797703,9.682571,645.600769,329.851096,-21.748851,639.478394,1497.576904,-236.436172,3172.235596,2059.383718,-506.781069,4691.291016,398.049894,25.274355,659.745178,355.640988,25.790561,641.944214,324.676877,22.420333,622.488953,307.782051,20.438970,618.586121,427.130921,48.850370,663.741150,393.212759,75.689864,651.438660,367.437454,95.729790,639.631714,349.942244,112.235740,634.728271,315.489560,50.828869,606.971069,314.856214,56.066649,621.748385,310.148876,54.064507,636.115434,283.667523,59.312918,657.575793,278.853873,64.770071,676.816796,293.096767,9.965684,581.345835,272.735939,-17.086669,576.815947,257.602214,-35.296306,570.152680,253.437687,-52.248085,563.125975,295.249572,17.127802,555.385416,287.319603,-15.382495,530.008793,287.358786,-38.160671,509.604907,291.396901,-60.198527,490.459504,304.821800,35.246752,543.043272,297.153473,20.961072,504.918731,301.847174,12.151756,474.284643,5748.829275,-52.814638,-1710.364156,315.939794,57.869182,543.945733,311.237687,76.183052,518.413529,301.467785,93.733231,507.048908,1839.457622,374.343447,7.128088,-0.000000,-0.000000,-0.000000,24.137591,20.315071,17.033616,37.684139,40.605935,34.124852,53.661317,48.305505,50.812087,69.110043,58.342442,64.918953,-0.000000,90.966980,18.006866,-21.397225,114.316531,27.643841,-37.933720,128.869353,30.594093,-53.011943,140.457684,33.409595,-0.000000,97.958076,-0.000000,-15.527377,137.105637,3.172389,-25.405660,165.182336,6.263590,-34.622007,186.692100,8.663785,6.795368,88.186756,-15.263330,8.528614,124.162272,-27.041323,8.565238,146.896867,-34.617983,7.099974,164.445882,-40.277317,17.757767,67.543917,-26.316893,40.483475,84.922322,-42.350143,59.371767,93.585573,-51.938903,73.694044,99.808984,-59.014206
456.165155,27.044046,695.262085,371.760045,22.469442,672.976074,331.927093,12.123023,693.435303,306.146468,8.750898,722.007874,237.915884,8.995669,636.051147,334.228078,-45.850341,676.613953,283.669857,-71.412462,656.051880,256.589952,-90.847503,638.927185,236.442161,-110.345932,633.154297,360.378198,-40.825731,677.977905,290.777899,-21.442605,657.313965,246.146273,-5.380287,635.980469,219.731845,5.193791,635.935547,374.920623,-23.187092,674.285950,317.054690,0.645786,690.249451,254.213975,11.578626,636.403015,227.056500,19.333104,636.819580,381.359906,1.064918,669.607910,337.086507,29.117389,677.396973,314.417987,47.629121,678.596191,297.222224,61.047925,679.075623,311.454501,30.059779,626.490228,273.795513,21.122521,632.936732,273.444939,8.580895,638.295801,225.024289,13.762753,648.984595,225.240957,18.758937,657.469587,266.738879,-40.229993,595.195625,251.231553,-67.790319,580.514375,243.501804,-85.942166,571.474123,5828.787595,-1281.540681,-733.164899,268.211647,-31.350284,571.543362,260.566390,-55.078245,542.383399,243.476822,-71.485650,524.307506,245.095337,-88.234438,503.372809,273.413907,-15.198283,561.467806,247.501985,-12.841654,531.946323,233.074582,-0.681240,513.913526,9752.780193,34.095585,-2940.995035,285.343912,4.099257,560.380667,276.244770,25.060907,546.817131,264.863898,44.003746,550.938618,3980.392239,413.638181,-335.747443,-0.000000,-0.000000,0.000000,23.971250,31.606299,17.423496,35.619905,57.250668,33.844564,51.928537,69.094284,45.190926,68.517556,78.316179,56.021456,-0.000000,105.868989,20.760665,0.845302,143.810036,27.246205,-2.740799,165.906348,31.334467,-5.655922,186.080933,34.190220,-0.000000,104.404030,0.000000,28.132598,142.572968,-3.029413,45.205517,164.563283,-5.719219,56.899734,180.146178,-8.364226,7.766598,94.132975,-13.168851,46.249188,125.345214,-20.455022,71.318737,140.246796,-24.710563,88.532781,150.520944,-28.041585,19.525822,78.436780,-20.198780,56.570644,88.946432,-23.526082,77.662545,85.790291,-22.176253,93.870542,84.421171,-21.657809
501.566967,77.054655,642.878784,417.104115,20.998472,560.592346,484.187960,-21.992410,665.872131,460.056802,-48.622889,661.285706,427.957803,-65.395236,655.139282,506.738857,-5.104711,620.147217,497.563521,-12.750897,567.702026,515.308298,-27.198933,572.735291,847.349318,-68.202937,925.043823,475.199992,12.887156,589.168762,511.767948,10.580956,584.916504,497.657366,-0.394352,554.518555,492.181376,-10.611656,540.270386,451.660845,33.565755,581.403381,465.689962,32.290718,583.279541,449.313366,22.734357,569.022949,433.885497,12.128813,557.622314,459.663891,55.409626,621.723328,429.211659,46.319052,611.825867,397.721826,39.312976,603.912659,641.331982,59.024218,1027.917236,376.855912,49.277146,578.929855,370.626662,19.378902,574.986523,369.233531,-10.168228,559.200881,351.102982,-29.159329,547.384827,14847.638237,-1325.026771,-2949.534472,388.210444,-12.399112,495.812760,390.755700,-37.262668,463.390368,391.429311,-50.978366,441.654609,9839.173391,-1024.262913,-3234.404763,386.697338,5.644032,482.785670,388.549062,-6.211274,435.596049,389.498624,-12.740973,406.802071,391.181778,-18.875194,380.241928,371.689865,23.343683,486.234807,370.864797,19.279109,443.080708,364.040790,14.382239,417.801289,359.000655,8.879667,395.383430,364.566450,41.397594,496.255208,360.926036,42.719685,469.890787,361.281243,41.959565,450.686792,367.684635,39.867327,430.621117,0.000000,-0.000000,-0.000000,18.039145,31.365812,23.102441,28.416969,64.508985,41.065691,40.587842,89.749407,45.463876,54.433199,113.400697,43.753124,0.000000,92.236777,20.409567,-11.462206,119.071414,23.743791,-14.614111,137.816566,25.980098,-15.788400,154.945609,26.243591,0.000000,91.444055,-0.000000,-15.619901,119.992999,-7.611808,-18.951221,139.468367,-11.951850,-20.011307,156.722923,-16.118184,4.672957,83.372006,-17.787667,-0.626515,110.292620,-31.233685,1.715592,129.200147,-37.768567,5.058236,146.334869,-42.696820,12.165921,70.869395,-32.395184,21.667038,91.196229,-44.737702,32.668503,105.816369,-53.437227,40.686827,117.814593,-59.836824
512.461117,-66.727419,624.009460,518.626183,-113.024169,622.188843,509.682005,-160.701681,617.055725,501.043900,-199.970429,604.971436,897.240751,-399.283036,1050.776367,430.329128,-122.989421,597.019409,386.740769,-147.796880,578.774048,353.860728,-158.701584,562.031494,326.699428,-167.206967,551.668213,401.923119,-97.942730,599.200439,342.773979,-105.987486,574.384460,301.934294,-104.293979,557.559814,270.923111,-99.932640,548.324463,391.105871,-77.778224,612.253479,332.748051,-80.751133,599.229614,291.232146,-78.086794,590.096985,259.674757,-74.892671,594.392029,389.219106,-62.302781,624.794006,340.035210,-63.517313,623.579956,310.915485,-62.432279,629.925415,277.527386,-59.206037,622.711975,387.607056,-66.440882,535.094957,392.583967,-102.337369,523.119910,390.186681,-130.864327,504.682591,386.814372,-156.966197,496.211605,390.485593,-186.178130,483.217427,340.622145,-109.947613,474.046578,320.888791,-128.016813,444.327637,311.841310,-138.860768,425.543933,310.368431,-148.372251,405.257374,332.608834,-88.872438,479.687240,312.290387,-94.924470,442.865365,284.031484,-95.440543,425.706457,282.742481,-99.310480,400.002547,332.620142,-69.459774,495.174220,310.989135,-64.738363,469.055211,308.648555,-65.774990,447.104607,293.579516,-65.599391,432.290402,312.081207,-50.538936,523.912812,287.446292,-36.548336,525.379522,277.324832,-28.910630,527.075685,271.807349,-24.624608,526.186550,0.000000,-0.000000,0.000000,9.090690,14.221763,34.362106,15.915178,34.571027,62.578428,24.379672,46.209316,89.227652,26.034399,53.345698,114.910547,0.000000,81.665924,25.122181,-0.067634,115.753000,34.648984,0.445284,136.074361,38.204161,0.474199,153.902928,39.231083,0.000000,86.386285,0.000000,-4.922846,125.632217,-3.802009,-8.014466,149.846268,-9.579905,-11.519187,169.666521,-16.059818,3.913127,81.311741,-21.076550,1.932960,116.664026,-32.832042,1.715915,140.269064,-41.850437,1.821991,160.313982,-50.554485,10.569555,69.123897,-37.310087,17.485236,90.855440,-54.456530,23.194399,104.157735,-66.380329,28.247331,118.138925,-76.732676
